Question,Answer
How do I book an appointment?,"You can book an appointment to see your GP online, by phone or in-person, by going into the surgery and talking to the receptionist."
How can I  book an appointment urgently?,"Call your GP surgery if you need an urgent appointment. If your GP surgery is closed, call 999 if it is an emergency or 111 if you have any urgent queries."
How can I see a specialist?,"A specialist will only see you with a letter of referral from your GP. The letter will give the specialist essential background information, such as your medical history, and it'll also contain details that the specialist needs to pay particular attention to."
What are the practice's opening hours?,"The opening hours for most GP practices are 8:00 am to 6:30 pm on any day from Monday to Friday, excluding bank holidays."
How can I get a repeat prescription?,Ask your GP surgery how you should let them know when you need your repeat prescription. They can send your request to a pharmacy.
How can I access my medical records?,"Medical records hold information about you. You'll have separate records for any NHS service you go to including your GP surgery, hospital, dentist or opticians. Your GP record includes information like any conditions or allergies you have and any medicine you're taking. There are 3 ways to access your medical records: using your NHS account, other online services and directly speaking to your GP surgery."
How can I access my medical records using my NHS account?,"You can get your GP record by logging into your account using the NHS app or NHS website. First, you need to register for online services and prove who you are. You can do this when you create an account. You'll need to ask your GP surgery for online access to your full record, or you'll only see your medicines and allergies."
How can I access my medical records using online services?,"You might be able to use other GP online services and apps to get your GP record. First, you need to register for online services and prove who you are. You'll need to ask your GP surgery for online access to your full record, or you'll only see your medicines and allergies. Some services and apps are only available in certain areas. Ask your GP surgery which one you can use."
How do I register with a GP?,"Anyone in England can register with a GP surgery. It's free to register. You do not need proof of address or immigration status, ID or an NHS number. GP surgeries are usually the first contact if you have a health problem. They can treat many conditions and give health advice. They can also refer you to other NHS services."
What is the process for getting a sick note?,Sick notes are free if the employee has been ill for more than 7 days when they ask for one. The healthcare professional might charge a fee if the employee has been ill for 7 days or less.
What is the policy on cancelling appointments?,Cancellations can be done online or over the phone. Cancellations notified less than 30 minutes before the appointment time will be recorded as failure to attend (DNA).
What is the process for a referral?,"You're entitled to ask for a referral for specialist treatment on the NHS. If you wish to be referred to a specialist in a particular field, such as a cardiologist or gynaecologist, you should see the GP you are registered with."
Can I book an appointment online?,"If you are registered with a GP surgery, you can use their online services to book, check or cancel appointments with a healthcare professional. Most GP clinics have online services to book appointments such as SystmOnline."
Can I order my repeat prescription online?,There are online services and apps you can use to order a repeat prescription. Some GP online services are only available in certain areas. Ask your GP surgery which service your GP surgery uses.
How do I access my test results?,"If you are registered for online service you can access your test results directly via the NHS app, otherwise you should call your GP."
What is the process for requesting a home visit?,A GP will only visit you at home if they think that your medical condition requires it. A GP can also decide how urgently a visit is needed. Due to increasing demand GPs can no longer automatically visit any patient who requests a home visit. All visits must now be triaged and dealt with according to clinical need.
Who do I contact in the case of a medical emergency outside of surgery hours?,"If your GP surgery is closed, call 999 if it is an emergency or 111 if you have any urgent queries."
How do I make a complaint?,"You can either complain to the NHS service provider directly (such as a GP, dentist surgery or hospital) or to the commissioner of the services, which is the body that pays for the NHS services you use. You cannot apply to both."
What is the policy for urgent appointments?,"Call your GP surgery if you need an urgent appointment. If your GP surgery is closed, call 999 if it is an emergency or 111 if you have any urgent queries."
Can I receive support for managing a mental health condition?,"You can receive a mental health referral from your GP. When you talk to your GP about your mental health they'll listen, give you advice and introduce you to a mental health service they think will be most helpful to you."
What is the process for ordering repeat prescriptions for my children?,Ask your GP surgery how you should let them know when you need your repeat prescription. They can send your request to a pharmacy.
Can I receive a flu vaccination at the surgery?,"If you're eligible for a free flu vaccine, you can book an appointment at your GP surgery."
Can I get travel vaccinations from my GP?,"If the GP practice is signed up to provide NHS travel vaccines, these can be provided to you free of charge. Other non-NHS travel vaccines may be charged for by the GP."
How do I change my registered GP?,You can change your GP surgery if you need to. This might be because: you have moved you have had problems with your current practice you were removed from the patient list You should tell the GP surgery if you change address or move out of the area.
What should I do if I missed my appointment?,The first time a patient fails to attend a booked appointment we will send them a DNA (did not attend) letter reminding them that in future they must cancel appointments if they are unable to attend. After three failure to attend letters we will consider advising you to register with another surgery.
How to reschedule my appointment?,"You can book, cancel or change your GP appointment by contacting your GP surgery by phone or through their website."
Do I need to see my GP to order a repeat prescription?,You do not need to see a GP to order a repeat prescription. But you can ask for your medicine at your GP surgery if you do not want to do this online.
What is a repeat prescription?,If you take medicine regularly you'll usually have a repeat prescription. This means you can order your medicine when you need it without having to see a GP until your next medicine review.
Can I use my NHS account to order a repeat prescription?,"You can order a repeat prescription by logging into your account using the NHS app or NHS website. If you're asked to nominate a pharmacy, you can only nominate a high street pharmacy. You'll be able to collect your medicine in person when it's ready. Some high street pharmacies also deliver."
Can my GP provide me with a sick note?,"Yes, if you are unable to work due to illness or injury, your GP can provide you with a sick note to give to your employer. The sick note will outline the duration of your illness or injury and any limitations you may have on your ability to work."
How often should I see my GP?,"The frequency of your visits to your GP will depend on your individual health needs. Some people may only need to see their GP once or twice a year, while others may need more frequent check-ups."
How long will I have to wait for my appointment?,"The waiting time for an appointment can vary depending on the availability of your GP and the urgency of your condition. If you require urgent medical attention, your GP may be able to offer you an appointment on the same day."
Can I see a GP without an appointment?,"It is usually necessary to make an appointment to see a GP in the UK. However, some practices offer walk-in clinics or same-day appointments for urgent concerns."
Can I register with a GP surgery outside the area I live?,"Yes, you can. However, the GP surgery can refuse registration for reasons such as they are not taking new patients or it's too far away from your home and you need home visits."
Are there any restrictions on registering with a GP surgery outside my area?,The surgery will decide if they can accept you as a regular patient or accept you without home visits.
Can a GP surgery refuse registration for any reasons?,The GP surgery can refuse registration for reasons such as they are not taking new patients or it's too far away from your home and you need home visits.
What are some reasons that a GP surgery may refuse registration?,The GP surgery can refuse registration for reasons such as they are not taking new patients or it's too far away from your home and you need home visits.
How do I find a GP surgery in the area where I want to register?,You can find a GP on the NHS website.
Can a GP surgery offer home visits if I register with them from outside their area?,"If you live outside of their area, the GP surgery might not be able to offer home visits. Other arrangements might be made if you are not well enough to go to the GP surgery. Contact your GP for further information."
What arrangements can be made if I am not well enough to go to the GP surgery?,"If you live in their area, home visits can be made. Contact your GP for further information."
Is it free to register with a GP surgery in England?,Yes it is free to register with a GP .
Are online consultations available at all GP surgeries?,"Most GP surgeries, hospitals, mental health services and community care services now offer video consultations. This is where you speak to a doctor or healthcare professional using the video camera in your smartphone, tablet or computer."
How can you access evening and weekend appointments?,"Some GP surgeries offer evening and weekend appointments. Appointments are available from 6.30-8pm in the evenings, 9am to 5pm on Saturdays and Sundays. You can request to book an appointment during these times by calling your GP."
How has face-to-face appointments changed due to the pandemic?,"Appointments may take place by phone, video, or face-to-face depending on your clinical need."
What are video consultations and who offers them?,"A video call is very similar to a face-to-face appointment. You will get the same care. This is where you speak to a doctor or healthcare professional using the video camera in your smartphone, tablet or computer."
How do you prepare for a video consultation?,"To have a video consultation you need: a smartphone, tablet or computer that allows video calling â€“ remember to make sure your microphone and camera are switched on an internet connection a well-lit, quiet and private space so the GP, nurse or other health professional can see you clearly"
What happens during a video consultation?,"If a GP, doctor or healthcare professional recommends you have a video call, you will get a text, email or letter with a date and time for the appointment. A video call is very similar to a face-to-face appointment. You will get the same care. The GP, doctor or healthcare professional will ask you questions about your health to work out the best treatment for you. You can also ask any questions you may have."
What happens if the video call does not work or you do not have a signal?,"If your video call does not work or you do not have signal, they will try a phone call instead. If this is not possible, you will be able to rebook your appointment."
Can you ask questions during a video consultation?,"Yes, a video call is very similar to a face-to-face appointment. You will get the same care."
Will the GP or healthcare professional be able to prescribe medicine during a video consultation?,"If you are prescribed any medicine, the doctor or healthcare professional will give you advice on how to take it. They may talk to you about the best way of getting your prescription."
Can you rebook your appointment if the video call does not work or you do not have a signal?,"If your video call does not work or you do not have signal, they will try a phone call instead. If this is not possible, you will be able to rebook your appointment."
What kind of health services can be accessed online if you are registered with a GP surgery?,"If you are registered with a GP surgery, you can access some health services online, such as contacting your GP, nurse or other healthcare professional for advice and support, ordering repeat prescriptions, seeing parts of your health record, including information about medicines, vaccinations and test results, seeing communications between your GP surgery and other services, such as hospitals, and booking, checking or cancelling appointments with a GP, nurse or other healthcare professional."
What kind of information can you see on your health record through online health services?,"Through online health services, you can see parts of your health record, including information about medicines, vaccinations, and test results, as well as communications between your GP surgery and other services such as hospitals."
What kind of healthcare professionals can you contact for advice and support through online health services?,"You can contact your GP, nurse or other healthcare professional for advice and support through online health services."
When will patients be automatically given access to more information added to their GP record?,"Most patients will automatically be given access to more information added to their GP record from November 2022 onwards, including letters, test results and appointment notes."
How can you find out which online health service providers you can use?,"To find out which online health service providers you can use, you should check your GP surgery's website to see what services are available online and which providers you can use."
What are some of the things you can do through online health and prescription services?,"Through online health and prescription services, you can do things like order repeat prescriptions, see parts of your health record, contact healthcare professionals for advice and support, and book, check or cancel appointments."
Can you choose from more than one provider for online health services? How do you choose a provider?,"You may be able to choose from more than one provider for online health services, and you can choose a provider by visiting the websites of different providers to see what they offer. Some providers also let you register online using NHS login."
How can you register to use online health services?,"To register to use online health services, you need to prove who you are. You can do this online using NHS login or by using details from your GP surgery to fill in a short registration form."
What are the two ways to prove your identity to use online health services?,The two ways to prove your identity to use online health services are by proving who you are online using NHS login or by using details from your GP surgery to register.
Can you use your NHS login to register with more than one provider?,"Yes, you can use your NHS login to register with more than one provider for online health services."
